tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
TI,6771381192,María Cartagena,06091988,47,79,47,91
CE,1267913829,Marcela Murillo,12031988,73,19,73,43
TI,8904067516,Marcela Rodríguez,16121987,5,60,5,25
CE,2377393203,María Castaneda,19011988,15,36,15,25
CE,0681484399,Carlos Hurtado,25061988,20,75,20,31
TI,2771103601,David Cifuentes,22111988,97,30,97,79
TI,8553730366,Daniela González,17071988,86,91,86,78
TI,0390015907,Ana Murillo,25081988,23,15,23,1
TI,9332081050,María Perez,18081988,76,65,76,41
CC,8868984253,María Cartagena,23031988,5,4,5,32
TI,0719194252,Daniela Martínez,25081988,25,32,25,55
TI,6668074768,Miguel Rodríguez,11101988,63,62,63,38
CE,7883792079,David Perez,26121987,18,58,18,6
CC,6965915785,Daniela Perez,03091988,99,24,99,67
CE,8302629834,Melissa Perez,06031988,11,83,11,100
CC,9526096646,Luis García,01071988,23,2,23,38
TI,6741626252,Gabriela García,21061988,25,32,25,55
CC,8740152600,Marcela Murillo,12051988,91,79,91,32
CC,3639831077,Luis Castaneda,13071988,20,45,20,35
TI,4302410964,Gabriela Murillo,12061988,25,91,25,45
CC,2256693816,David Martínez,01071988,85,47,85,91
CE,0872206011,Luis Murillo,18041988,94,2,94,95
CE,0416771104,Luis Rodríguez,17041988,11,77,11,79
TI,4495848047,Daniela García,13011988,54,29,54,83
TI,8014038129,Daniela López,13041988,99,2,99,34
CE,4323897501,Ana Hurtado,12051988,70,45,70,92
TI,2518091232,Marcela Hernández,11041988,17,68,17,47
CE,1968367529,María Hurtado,24061988,41,60,41,68
TI,1698725863,María Cartagena,28061987,41,53,41,86
CE,1913848697,Ana Castaneda,25071987,91,81,91,30
TI,5654272099,Gabriela Castaneda,14121986,19,51,19,95
CC,3728638938,Manuela López,26071987,5,50,5,3
TI,6479517383,Manuela Cifuentes,19081987,23,29,23,67
CE,6885428119,Miguel Castaneda,21011987,81,41,81,20
TI,3535599022,Manuela Murillo,22091987,19,55,19,41
CE,1479483689,Daniela Cifuentes,18101987,20,79,20,51
TI,8020357621,Ana García,11051987,23,83,23,53
CE,6576364826,Luis Rodríguez,15011987,13,41,13,94
TI,3818566759,Sofía Martínez,25101987,17,44,17,30
CC,5394151124,Daniela Perez,05051987,52,62,52,58
TI,6300687309,María Perez,05121986,81,43,81,24
CE,8804094891,Carlos Cifuentes,24051987,18,25,18,78
CE,1803418745,Sofía Perez,11091987,54,62,54,20
TI,4228501481,Luis Hurtado,26031987,18,67,18,73
TI,6198683692,Laura Perez,28081987,20,91,20,15
TI,6083248115,María García,28051987,52,86,52,35
CC,6522896589,Juan Martínez,13101987,66,65,66,75
CE,9404561823,Carlos Cifuentes,17111987,86,41,86,86
TI,8903287010,Sofía Martínez,22071987,76,52,76,4
CE,2303202732,Melissa López,06011987,25,45,25,50
CE,8305163310,Daniela González,17081987,11,77,11,73
TI,5706726765,Carlos Cartagena,25121986,13,100,13,15
TI,0853513546,Manuela Hernández,05031987,85,65,85,31
CE,5042899257,Manuela Rodríguez,25051987,47,94,47,91
CE,1781639831,Laura García,14081987,27,42,27,20
CC,0161689534,Juan Hernández,27011987,85,81,85,94
TI,2040979942,Marcela Hernández,21071987,25,2,25,25
CE,6723794698,Marcela Rodríguez,18091987,73,3,73,40
TI,1843726750,Laura Martínez,21081987,63,32,63,97
CC,7025001988,Sofía López,02021987,91,75,91,77
CE,7434715339,Manuela Perez,20121986,18,30,18,25
CE,3953147560,Daniela Cartagena,25021987,23,34,23,2
TI,8327358864,Luis Cifuentes,10041987,99,74,99,20
CC,2547852307,Carlos Martínez,10031987,50,53,50,88
TI,6416676119,Gabriela Perez,25051987,63,50,63,92
CC,7864075168,Ana Rodríguez,02071987,17,91,17,6
TI,9368046080,Gabriela Cifuentes,20021987,17,87,17,77
CC,5471522494,Manuela López,01041987,11,97,11,4
CC,8940091323,David Cifuentes,16071987,52,19,52,90
TI,0865952322,Juan Hurtado,15111987,52,1,52,24
CC,5484036203,Marcela Cartagena,24071987,66,20,66,31
CC,9900916682,Manuela López,19111987,54,86,54,40
TI,3027982783,Laura García,24011987,63,20,63,81
CE,6537885199,Marcela Martínez,02061987,18,98,18,77
CC,9131891683,Manuela Cifuentes,24081987,19,94,19,15
TI,4232860846,Gabriela López,27101987,19,44,19,92
CE,6819990840,Laura Perez,24011987,5,47,5,38
TI,2024567993,David Cifuentes,21121986,91,26,91,99
CE,1060910659,Gabriela Hernández,20051987,11,29,11,16
TI,3394764518,Juan Hernández,04011987,70,58,70,86
CE,7152489441,Gabriela Castaneda,12101987,18,92,18,65
TI,2408218486,Sofía Cartagena,05021987,97,32,97,67
CE,1975697503,David Rodríguez,13061987,70,78,70,30
TI,3996390973,David Cartagena,26041987,68,21,68,99
CE,2762217468,Marcela Martínez,06061987,95,79,95,11
TI,8570296984,Luis García,14111987,52,87,52,1
CE,3920211911,Manuela Hernández,22031987,68,41,68,83
CE,4321523337,David Perez,12021987,70,45,70,24
CE,6066381763,Gabriela Hernández,24121986,97,55,97,15
CC,6685548085,Daniela Rodríguez,08091987,23,86,23,88
CE,3418168709,Luis Rodríguez,05081987,63,36,63,53
CC,4848024649,Carlos Hernández,24111986,47,29,47,30
CC,8544903915,Juan Martínez,12031987,47,22,47,83
CE,2785310124,Sofía González,02041987,50,92,50,34
CE,3843284474,Gabriela Castaneda,16021987,17,25,17,30
CC,8939958553,Juan López,23041987,17,58,17,52
CE,2326501188,Sofía Cifuentes,15061987,99,45,99,42
CC,9983186671,Laura Hernández,18091987,5,83,5,30
CE,2446721276,Gabriela Castaneda,13061987,20,88,20,20
CC,2476070919,Carlos Hurtado,19121986,44,99,44,98
CE,6126182266,Miguel González,26041987,8,36,8,88
TI,3424564176,Melissa Hernández,12061987,54,31,54,11
CE,1237965418,Marcela González,11121986,63,52,63,91
CC,4795205128,Melissa Perez,15111986,50,38,50,62
CC,7102615326,Gabriela Rodríguez,20101986,52,2,52,25
CE,1781845760,David Cifuentes,16011986,94,10,94,1
TI,1737730379,Daniela Hernández,12011986,88,62,88,45
CE,5927664821,David González,01031986,94,51,94,73
CC,5656902090,Melissa Castaneda,09101986,76,58,76,32
CE,1950182579,Marcela Cifuentes,16111986,23,67,23,30
CC,2327552437,Daniela López,06081986,68,62,68,92
TI,5077333143,Daniela Rodríguez,01101986,41,35,41,19
CE,7974339438,Ana García,06091986,25,34,25,78
CE,8178992421,Marcela González,13081986,11,44,11,20
CC,6176979964,David González,19121985,76,6,76,11
CE,1342304240,Marcela Hernández,01101986,86,51,86,2
CC,5743092846,Daniela González,18111986,18,100,18,65
CE,1313746200,Gabriela Hurtado,21101986,91,88,91,78
CC,2482974129,Gabriela García,26081986,18,31,18,42
TI,8828190014,Manuela Murillo,22011986,27,52,27,88
CC,2133815288,Manuela Perez,06051986,44,41,44,16
CE,9307335079,María Martínez,16101986,52,93,52,47
CC,6624877334,Manuela Hernández,24071986,97,83,97,43
TI,9155661095,Juan López,20111986,17,26,17,90
CC,3485579921,Laura Cifuentes,04121985,99,65,99,95
CE,1160439480,Carlos Hurtado,08031986,50,38,50,83
TI,4899073602,María López,09051986,47,59,47,75
CC,4592066019,Marcela Perez,02071986,25,78,25,88
TI,3977232634,Luis Hernández,24021986,20,53,20,79
TI,5612749781,Marcela Cifuentes,16041986,85,68,85,6
CE,7139348168,David Murillo,28021986,15,62,15,36
CE,1726084193,Carlos López,20091986,11,75,11,25
CE,2576422853,Gabriela González,24121985,76,36,76,94
CE,7192705724,David Cifuentes,28101986,95,35,95,13
CC,7683943387,Ana Castaneda,28101986,41,52,41,10
CC,0459697540,Manuela González,23081986,73,6,73,62
TI,1854776210,Sofía Cartagena,12011986,91,41,91,21
TI,0856706101,Laura Castaneda,23071986,68,91,68,62
TI,1096912172,Manuela Murillo,13091986,44,22,44,20
CE,3417765781,Daniela Hernández,03061986,17,75,17,31
TI,5989413954,Sofía López,11041986,5,1,5,6
CC,9631726322,Carlos Murillo,14031986,47,88,47,32
CC,1082088259,Gabriela Murillo,04121985,85,16,85,99
CC,4737694859,Daniela López,18111986,97,40,97,25
CC,4067675831,Carlos Castaneda,07061986,17,15,17,93
CE,1329872191,Daniela Murillo,04031986,44,100,44,94
CE,0447394281,Miguel González,09011986,8,95,8,43
CE,6212043128,Miguel Castaneda,15011986,20,30,20,94
TI,3203259249,Melissa Perez,25061986,47,52,47,13
TI,4591742741,Carlos Martínez,02011986,19,97,19,13
CC,4724297227,David Castaneda,14121985,70,87,70,75
CE,4217381590,Luis López,07081986,88,87,88,31
CC,3182373025,Miguel Perez,06031986,54,10,54,92
CE,7462384279,Laura Hurtado,11111986,94,31,94,21
CE,6343116662,Juan Perez,08071986,94,26,94,92
CE,8640216552,Marcela Murillo,09021986,63,40,63,94
TI,3524916770,Ana Hurtado,02031986,97,54,97,79
CE,0166220687,Juan Murillo,08031986,95,54,95,62
TI,3184278721,María Cartagena,10121985,15,24,15,16
TI,9976123470,Ana García,08081986,15,47,15,4
CE,5429453378,Gabriela Martínez,14021986,99,73,99,16
CC,0198419969,Melissa López,26121985,95,2,95,24
CC,2762486651,Laura García,10041986,54,99,54,52
CC,3125111532,Gabriela Perez,03051986,15,42,15,100
CC,1286886056,Manuela Cifuentes,27111985,47,68,47,52
CC,0095281148,Miguel López,25091986,25,92,25,25
CC,3435662831,Carlos Martínez,15061986,73,95,73,93
CC,8386918639,Miguel Cifuentes,08091986,81,34,81,19
TI,0799235273,David Cartagena,18041986,47,38,47,20
TI,6289750163,Gabriela Castaneda,05021986,97,100,97,83
TI,3860151188,Gabriela Hernández,25071986,52,59,52,74
CC,8765464076,Sofía Murillo,22101986,63,58,63,11
TI,2167972103,Gabriela García,13111986,41,32,41,42
TI,6196042243,Gabriela López,12071985,91,22,91,87
CE,5879830043,Luis Perez,21101985,70,45,70,2
CE,4865307957,Melissa Perez,10121984,99,25,99,55
CE,6598837479,Marcela García,09101985,63,6,63,97
CE,7717166128,María Martínez,24111984,47,19,47,58
TI,3519331522,Juan Martínez,01031985,76,62,76,95
CC,7786702373,Daniela García,10031985,18,86,18,10
CE,6612567065,Juan Cartagena,19041985,27,21,27,99
CE,9565414438,Carlos Perez,16121984,99,65,99,41
TI,4808726343,Juan Rodríguez,15061985,19,34,19,52
CE,0287852668,Ana García,10061985,76,44,76,52
TI,1679272807,Melissa Castaneda,17041985,66,98,66,4
TI,7344538999,Carlos Martínez,12121984,68,75,68,54
CC,3140988104,Melissa Martínez,02111985,20,54,20,36
TI,7801254073,Melissa Murillo,04111985,8,13,8,62
TI,6971583807,Ana López,07021985,99,93,99,2
TI,6970131458,David Rodríguez,04061985,52,100,52,95
CE,8741480186,Manuela López,27031985,44,93,44,34
TI,4720618563,David Cartagena,16031985,20,81,20,68
CE,2692824871,Gabriela Cartagena,03061985,41,59,41,50
CC,7173075245,David Castaneda,04101985,25,35,25,91
CE,4716833571,María Castaneda,09071985,44,87,44,54
CC,2771730813,Ana Perez,03031985,20,92,20,65
CC,7851960021,Gabriela Perez,15111985,94,4,94,77
CC,5069971480,Carlos Cartagena,28091985,99,21,99,68
CC,6910632105,Sofía García,06091985,17,16,17,74
CC,0935658758,Miguel Martínez,01121984,88,1,88,87
CC,4062257692,Gabriela López,13071985,18,31,18,11
TI,4534445211,Marcela Hurtado,04061985,19,91,19,38
CC,0926206337,Miguel Hurtado,15111985,47,59,47,42
TI,2751402188,David García,11021985,11,62,11,38
TI,7320641584,Laura Cartagena,10081985,63,34,63,81
CC,0651469003,Luis González,25031985,95,91,95,97
CE,1767765149,María González,23031985,50,81,50,22
CC,2791016152,Ana Rodríguez,20081985,44,75,44,59
TI,2332302967,Manuela Cifuentes,20061985,73,26,73,50
TI,7133109497,Carlos Castaneda,27111984,54,68,54,92
CC,1806726611,Luis Martínez,10101985,54,22,54,67
CC,7053377739,Sofía Hurtado,23011985,8,94,8,83
TI,3855312532,María Hurtado,04081985,76,4,76,86
TI,1007063663,Manuela García,13091985,17,86,17,43
TI,2548268374,Ana Castaneda,25051985,13,74,13,60
CC,5716397703,Luis Martínez,07101985,94,32,94,20
TI,9878430736,Marcela Martínez,04101985,94,59,94,31
CC,3006447138,Gabriela Martínez,07011985,13,74,13,99
TI,9323788224,Sofía Cifuentes,19021985,91,50,91,35
CE,1940526266,Carlos López,05031985,20,100,20,98
CE,3194452377,Carlos Hurtado,10121984,63,90,63,100
CC,2687832645,Gabriela Castaneda,28041985,91,10,91,6
CE,3926642760,Carlos Hurtado,03011985,15,44,15,88
TI,0294368083,Melissa García,23121984,86,11,86,38
TI,5480065675,Luis González,14121984,17,2,17,3
CE,8309425501,Marcela Rodríguez,27061985,17,88,17,32
CC,1682047010,Manuela García,12111985,17,55,17,53
TI,1744148401,Daniela Perez,22031985,13,86,13,88
TI,3298167779,Marcela González,27121984,41,13,41,99
TI,1398691600,Sofía Perez,01101985,85,90,85,30
TI,0889950664,Manuela García,03081985,41,16,41,68
CE,8953172259,Sofía Perez,16011985,47,29,47,98
CC,1581678150,Carlos Perez,21081985,99,16,99,95
CE,3973428939,Daniela Cartagena,08021985,95,42,95,26
TI,0600608976,Luis González,16101985,47,51,47,62
CC,2329968894,Luis García,10101985,5,90,5,100
TI,9139640341,Manuela Martínez,03101985,27,94,27,100
TI,3441494657,David Castaneda,24071985,27,21,27,94
CE,5257170174,Miguel López,22111985,11,58,11,3
CC,7446081062,María García,23011985,91,45,91,53
CE,3047233655,Juan Perez,28031985,27,13,27,58
CC,4761749310,Sofía Rodríguez,12021985,18,53,18,100
TI,2869458396,Luis Rodríguez,25091985,86,19,86,35
CC,0220963687,Ana Cartagena,01061985,5,100,5,45
CE,8558380698,Juan González,18061985,94,74,94,78
TI,7096896448,María Hernández,25111984,95,74,95,15
CC,6585873947,María González,10051985,13,15,13,6
CC,7068724706,Manuela Hurtado,04021985,91,91,91,42
CE,9912935498,Luis González,11061985,68,1,68,41
CC,6058504048,Sofía Perez,27111984,73,60,73,38
CC,8547626780,Laura Hurtado,03081985,99,32,99,81
CC,8667330500,Ana Cifuentes,03071985,11,20,11,59
CE,0463769281,Manuela Rodríguez,14101985,52,43,52,22
CE,6619541020,Carlos Hurtado,12011985,25,77,25,95
CE,2272983469,María Murillo,28051985,68,95,68,77
TI,6165100807,Juan Martínez,22051985,97,95,97,21
TI,2200643533,Laura Cartagena,02111985,52,38,52,43
CC,8922522981,Miguel Martínez,19061985,66,94,66,55
CC,9058088529,Carlos Perez,28101985,54,44,54,30
CC,8795837120,María Hurtado,04021985,23,42,23,87
CC,4302956411,Miguel López,06031985,94,91,94,34
CE,3150090342,Sofía Cartagena,20031985,85,20,85,81
CC,3236681755,Juan Martínez,22061985,85,73,85,40
TI,3547020867,Ana García,19061985,23,38,23,25
TI,9300964000,Luis Hernández,05071985,81,44,81,74
CC,1647148331,Miguel García,03071985,47,92,47,83
CC,3928671196,Luis Castaneda,10121984,76,95,76,94
CE,6848474511,Miguel Cartagena,21091985,19,86,19,54
TI,8527160974,Laura Castaneda,10071985,13,2,13,68
CE,5819145989,David Hurtado,17081985,94,4,94,24
CC,3439560092,Juan Rodríguez,17101985,85,30,85,58
CC,9560701611,Daniela Martínez,04041985,5,30,5,100
TI,9182026220,Juan Rodríguez,18111984,17,50,17,97
TI,3760657311,Sofía Cifuentes,21061984,18,88,18,59
TI,5760349438,Luis Cifuentes,13091984,91,83,91,50
CE,7700812639,Carlos Hernández,08111984,13,77,13,83
TI,6009756031,Gabriela López,11071984,17,40,17,21
CC,6304525797,Luis López,27081984,86,10,86,34
TI,1960656008,María Martínez,10081984,18,88,18,4
CC,5570256080,Juan Cifuentes,20121983,50,67,50,32
TI,8196890773,Melissa Martínez,04111984,27,90,27,58
CE,9787572186,Carlos Perez,19111984,99,44,99,58
CE,6436743866,Carlos Cifuentes,04041984,20,97,20,59
CE,3365160992,Juan Hurtado,25031984,50,94,50,20
TI,7330309460,Luis Castaneda,24051984,19,98,19,68
CE,9098820264,Melissa Hurtado,04021984,8,79,8,65
CE,2987552118,Gabriela Perez,08021984,52,32,52,20
TI,0134324401,Carlos Perez,05041984,94,78,94,58
CE,3010584827,Miguel Cifuentes,18111984,63,13,63,32
CC,0594061890,Marcela Cifuentes,23011984,54,29,54,34
TI,3494263897,Manuela López,28101984,8,98,8,50
CC,1886908191,Carlos Castaneda,09041984,73,44,73,79
TI,4355375349,Ana Murillo,18121983,66,83,66,15
TI,9291451666,Miguel López,08021984,97,99,97,19
CC,3532424261,Manuela Castaneda,26081984,99,36,99,88
TI,4744371738,Sofía Rodríguez,28071984,5,99,5,77
TI,8354483458,Ana Cifuentes,25031984,41,75,41,44
CC,7282424009,Melissa Martínez,18081984,99,34,99,50
CC,9753363105,Gabriela Castaneda,19031984,81,47,81,13
CE,3156491591,Daniela Cifuentes,14061984,95,25,95,19
CC,8330970329,María Martínez,21101984,18,98,18,99
TI,8958374700,Juan García,23051984,81,29,81,81
TI,8913026369,Carlos García,25031984,52,34,52,67
CC,1055225530,Miguel Murillo,15121983,11,31,11,6
CC,1503964968,Carlos Rodríguez,27081984,91,19,91,55
CE,1649906984,Manuela Cartagena,10101984,85,22,85,67
CE,4812401402,Daniela García,02101984,63,67,63,25
CC,1515512065,Daniela Hurtado,16051984,13,74,13,99
TI,9165283031,Manuela Hurtado,11031984,5,52,5,24
TI,0203148039,Daniela Cifuentes,12121983,85,24,85,77
TI,0888010553,David Castaneda,07021984,19,19,19,41
CE,8151756140,Manuela Hernández,01051984,94,98,94,51
CC,7667650214,Juan Rodríguez,22051984,63,77,63,99
CC,9633831889,María González,18061984,41,10,41,22
CC,1231407835,Carlos Cartagena,08081984,5,47,5,26
TI,7841784236,David Cifuentes,11091984,85,11,85,38
CE,0431658603,Marcela Rodríguez,09031984,94,55,94,16
CE,8966440141,Juan López,24021984,97,77,97,95
CC,5336306869,Sofía Hernández,27111983,95,93,95,59
TI,0431519352,Sofía Hurtado,24091984,17,52,17,94
TI,9383344057,Miguel Hernández,11011984,44,55,44,16
TI,4695283975,Carlos Murillo,12091984,47,67,47,47
CC,5021801865,Carlos García,06051984,13,58,13,79
TI,5420445510,Carlos López,03061984,20,94,20,1
CC,0899997586,Manuela Martínez,08071984,17,40,17,54
CC,9737752741,David Hurtado,22061984,95,52,95,24
TI,5465634969,María Murillo,04031984,68,44,68,22
CE,9583672699,Carlos Castaneda,19021984,17,77,17,52
TI,9190641276,Laura Hernández,13021984,54,34,54,21
CC,2053133639,Daniela Cartagena,27091984,13,40,13,31
CC,0140341879,Gabriela Hernández,14081984,52,65,52,2
CE,7368362865,David Murillo,12021984,47,67,47,58
CC,7384645702,Melissa Rodríguez,21101984,52,86,52,90
CC,2975020853,Ana Cartagena,09011984,52,74,52,100
CC,6667891912,Ana García,07041984,76,20,76,99
CC,3426741057,María Hernández,23121983,94,20,94,92
TI,7407538125,Carlos Murillo,06031984,85,94,85,47
CE,9588188823,Manuela Castaneda,08111984,86,68,86,73
TI,3691210711,Carlos Rodríguez,03051984,23,73,23,79
CC,7068598872,David Hurtado,26071984,50,1,50,77
CE,4543780531,Sofía Cartagena,25121983,13,50,13,44
CE,1866678710,David González,22121983,20,55,20,88
CE,6859559797,Gabriela Rodríguez,09091984,11,67,11,26
CC,3028367828,David Cartagena,13081984,50,22,50,86
TI,4318437032,María Cartagena,05091984,52,20,52,97
TI,4764985654,María Hernández,21121983,19,1,19,30
CC,1671339209,Luis Hurtado,14031984,27,81,27,77
TI,3480289073,María Castaneda,25091984,18,30,18,81
CE,6906943449,David Hernández,03111984,11,38,11,19
CE,0948797735,David González,21071984,76,86,76,87
CC,1296145667,Laura Martínez,14021984,81,77,81,95
CE,5378339691,Manuela Rodríguez,19121983,81,45,81,87
TI,2009838302,Miguel Hernández,25051984,23,91,23,87
TI,3731773115,María Cifuentes,12081984,94,6,94,2
TI,6841238239,María García,13121983,18,65,18,86
CC,3645819162,David González,26011984,8,20,8,68
TI,2447880907,Daniela Rodríguez,12041983,15,20,15,13
CC,4839385632,María Hurtado,28061983,15,26,15,2
TI,0959569693,Daniela Rodríguez,12081983,25,21,25,68
CC,3937248796,Manuela Castaneda,18091983,52,45,52,100
CC,9079276051,Luis Cartagena,15021983,11,42,11,88
CC,1545653109,Carlos Rodríguez,23041983,17,38,17,26
CE,9461055234,Marcela Cifuentes,03121982,85,51,85,68
CE,5794262009,Ana Cifuentes,11071983,18,36,18,78
TI,7199356835,Luis Perez,14041983,70,32,70,95
CC,3924045904,Marcela Perez,27011983,25,16,25,4
TI,7590523519,Daniela Cartagena,22091983,11,86,11,92
CE,2255880334,Laura López,14011983,88,75,88,98
TI,7145011677,Ana Cifuentes,23051983,70,35,70,62
TI,7565318625,Luis García,28011983,25,19,25,32
CE,9031369578,Laura González,01011983,63,47,63,65
CC,3771340976,Sofía Murillo,04111983,68,32,68,60
CC,7935885543,Carlos Perez,23041983,73,78,73,24
CC,5345343871,Miguel Rodríguez,22021983,50,35,50,3
CC,8739717290,Juan Cartagena,08081983,5,43,5,86
CC,6970478270,Miguel Castaneda,08111983,76,21,76,58
CC,3724296154,Sofía Cartagena,06051983,94,100,94,74
CE,5959837074,Melissa Hurtado,28121982,91,11,91,83
CE,7981213964,Melissa Martínez,11111983,73,41,73,73
TI,1804109690,María González,16061983,88,55,88,6
CC,6399762410,Carlos Martínez,04101983,54,21,54,58
CC,0732935662,Luis García,01111983,13,32,13,47
CE,4782735386,Marcela Castaneda,26021983,5,55,5,25
TI,3017680270,Laura Murillo,22111983,88,30,88,4
TI,0103736450,Gabriela García,14041983,95,97,95,43
CE,2698810495,Ana Murillo,21041983,86,62,86,73
CC,9262473494,Ana Hurtado,20041983,76,88,76,45
TI,5512524382,Sofía López,26081983,91,75,91,100
CC,7285424789,Manuela García,19051983,81,22,81,100
CE,9609662631,Gabriela González,06041983,85,58,85,35
CC,4584159118,Ana Martínez,13121982,8,55,8,93
CC,3432984718,Marcela Perez,16101983,52,2,52,15
CE,4043924718,Manuela Hernández,12091983,81,79,81,88
CC,9801701067,Ana Martínez,17091983,88,41,88,47
CE,2993020639,Miguel Castaneda,23091983,47,34,47,53
CE,2253549181,Sofía Murillo,10101983,19,22,19,94
CC,4412842263,Daniela Martínez,01071983,11,78,11,100
TI,4657326894,Manuela González,03041983,95,6,95,45
TI,0027069980,Juan Hurtado,25021982,99,20,99,93
TI,6117120474,Ana López,07071982,76,41,76,62
CC,2548379904,Carlos Martínez,05111982,17,35,17,35
CC,9405900550,Marcela González,18011982,13,20,13,55
CE,5583128457,Juan Hernández,22011982,41,75,41,65
TI,6444201466,David Castaneda,28111981,41,92,41,34
TI,5681285503,Laura Castaneda,01111982,11,99,11,47
CE,0703395482,Luis Rodríguez,19101982,73,47,73,92
CE,0986175409,Laura González,09011982,94,3,94,24
CC,2812151806,Laura García,04011982,8,77,8,90
CE,3429125893,Luis Martínez,14081982,50,22,50,44
TI,1256037201,Luis González,08051982,68,32,68,54
CC,7906437536,Laura Cartagena,09081982,86,88,86,15
TI,4647800708,Miguel Rodríguez,04041982,8,24,8,59
CE,1597578750,Manuela Perez,07101982,11,62,11,2
CE,5257747623,Carlos Cartagena,04031982,52,74,52,75
CE,3618910275,María Cifuentes,24011982,97,45,97,53
TI,7238709476,Laura Castaneda,20051982,66,79,66,19
CC,8419448047,Ana Rodríguez,27091982,70,16,70,31
CE,8516358480,David Murillo,23121981,88,98,88,34
TI,5636653690,Manuela Cifuentes,10081982,63,52,63,26
CE,0224429688,Sofía Hurtado,23121981,85,78,85,99
CC,6596288734,Sofía Cartagena,26061982,50,58,50,19
TI,1928750767,Laura Rodríguez,18061982,11,36,11,4
CE,6959088847,Gabriela Cifuentes,16041982,95,2,95,3
TI,8622050107,David Castaneda,06071982,50,78,50,98
TI,3995747603,Sofía Cartagena,17091982,54,99,54,59
CE,1432874667,Laura López,23071982,86,91,86,67
CE,6550318033,Gabriela Rodríguez,27061982,99,22,99,86
CE,5361329566,Laura Cifuentes,09041982,85,43,85,10
CE,4323260122,Marcela Castaneda,07071982,17,54,17,90
CE,5341859493,David Rodríguez,07091982,63,3,63,51
CC,7287926449,María Castaneda,25011982,68,36,68,79
TI,0746527868,Sofía Cartagena,09051982,85,42,85,35
CC,5517789546,Miguel González,14101982,54,25,54,65
CC,6326720279,Manuela Castaneda,21101982,73,19,73,30
TI,6862615403,Melissa García,04011982,52,24,52,55
CC,6399173775,Laura Hernández,02011982,85,67,85,54
TI,2442983065,María López,08061982,25,2,25,98
CE,5610842822,Sofía López,09101982,27,2,27,1
CE,0726164566,Carlos Cifuentes,08061982,63,51,63,97
CC,3047743040,Daniela Perez,26071982,47,24,47,79
CE,6688234099,Miguel Hurtado,22021982,81,91,81,86
TI,9348410982,Gabriela García,10111982,73,47,73,29
CC,6797699902,Laura Cifuentes,01061982,68,99,68,26
CE,2523610003,Gabriela González,12101982,88,47,88,1
CE,3067270115,Marcela González,08101982,86,83,86,67
CC,9104910835,Gabriela Murillo,23031982,81,98,81,100
TI,1830612262,Miguel Perez,26071982,91,45,91,67
CE,1643444254,Sofía Murillo,15091981,19,43,19,29
TI,0928308974,Laura López,25021981,91,11,91,92
CC,6932171907,Ana Cartagena,28051981,86,3,86,45
TI,8170048049,Daniela Cifuentes,08051981,97,45,97,98
CE,9687480760,David Cifuentes,12011981,88,77,88,22
TI,2314402440,Marcela Perez,13011981,23,95,23,16
CC,6914592517,Laura Cifuentes,21051981,5,97,5,32
CC,3491170316,Miguel García,04061981,41,40,41,35
CC,8473473558,Melissa Murillo,23071981,20,53,20,31
