tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia
TI,8530246783,David Martínez,03041971,23,86,23,86,1
TI,8721617119,María Hurtado,24051940,50,90,50,26,0
CE,3645877783,María Castaneda,01091975,54,77,54,20,1
CC,8058376633,Luis Hernández,18051987,88,97,88,78,0
CE,7756015206,María González,08121957,8,36,8,20,1
TI,3700506158,Luis García,24081950,70,100,70,52,0
TI,7860702202,Ana González,28051949,17,98,17,34,1
TI,1401968603,Melissa Hernández,16021968,63,32,63,2,0
CC,1867571091,Marcela Hernández,08031983,94,65,94,58,1
CC,0354821913,Luis Martínez,16111971,76,24,76,10,1
TI,7448471280,David Martínez,07081937,50,3,50,53,0
TI,1906366292,María Castaneda,15012003,23,21,23,20,0
CC,8832459453,María Cartagena,07111986,70,67,70,36,1
CC,3309365854,Luis López,20021994,27,68,27,11,1
TI,4528074125,Daniela Martínez,22071942,91,26,91,77,0
CC,3816302079,Carlos Castaneda,19072009,86,21,86,43,1
TI,6433340021,Melissa García,14101944,5,10,5,67,1
CC,0605411354,Ana González,14071944,50,81,50,10,1
CE,2909635726,Melissa Hurtado,22111996,25,35,25,86,0
TI,5860758277,Carlos Rodríguez,17062023,73,2,73,52,1
TI,3508554064,Laura Hernández,04021975,5,86,5,91,1
TI,3171885234,Sofía Cartagena,20071927,95,32,95,6,1
CC,8958157636,Carlos Martínez,03111978,73,2,73,92,0
CC,8384886454,Sofía Hurtado,14051986,25,13,25,94,0
CE,2779354791,David González,10021967,70,79,70,78,0
CC,5524274759,Daniela Cifuentes,09111937,8,65,8,58,1
CC,6636602161,Melissa López,02041999,88,42,88,55,0
CE,9952835943,María Martínez,08052008,54,43,54,90,1
CE,2988812678,David Hurtado,20111937,73,3,73,59,0
TI,2641622084,David Cartagena,18112006,94,55,94,78,1
TI,2516896858,Juan González,05031937,18,94,18,35,1
CE,7090977271,Carlos García,07071976,86,83,86,86,0
TI,6406869676,Daniela Cifuentes,09051924,95,50,95,88,0
TI,6574755622,Manuela González,13101924,20,26,20,58,0
TI,2650593772,Gabriela Cifuentes,14081932,68,65,68,92,0
CC,3474439961,Daniela Castaneda,08071958,95,21,95,44,0
CE,7635666358,María Perez,16071974,97,22,97,99,1
CE,6501829820,Daniela Martínez,25091964,63,42,63,88,0
CC,8487921712,Ana Murillo,05081953,8,73,8,77,1
TI,2908125262,Ana López,16082006,73,75,73,51,1
CE,9728153067,David Castaneda,23061991,68,74,68,52,0
CE,1790126777,Laura Murillo,13012009,52,79,52,15,1
CE,1291601278,Sofía Murillo,13012007,15,6,15,13,0
TI,9885347838,Daniela Cifuentes,26091965,94,88,94,93,0
CC,2836533624,Melissa Perez,27061982,44,4,44,4,1
CC,8944298180,David Murillo,01041951,25,38,25,41,0
CE,1164057747,Juan González,19041983,88,65,88,36,0
CE,8023634882,Juan González,23051963,85,53,85,41,0
CC,2229768178,Gabriela Cartagena,10091987,85,83,85,62,1
CE,1378109041,Ana Cifuentes,11071918,86,21,86,10,0
CE,6434418916,Melissa Martínez,17021962,97,20,97,94,1
CE,7681534652,Laura Hernández,01021930,54,65,54,91,1
TI,8134616941,Ana García,13091958,52,40,52,87,1
CC,4797765979,Sofía Cifuentes,16111977,47,73,47,99,1
CE,2162830875,David Cartagena,06021993,76,59,76,59,1
TI,0004075092,Manuela Cartagena,24011922,94,65,94,88,0
CE,1462828090,Ana Cifuentes,12091932,20,51,20,60,0
CE,7747111568,Carlos García,10091952,20,95,20,15,1
CE,4510150011,Melissa Perez,16041926,11,60,11,44,0
TI,0995067358,Marcela Perez,14011957,94,94,94,93,0
CE,6208485966,María Rodríguez,08121938,41,36,41,1,0
CE,6631637306,Ana Rodríguez,04121996,94,87,94,29,0
CC,2058303615,David Murillo,01061957,99,15,99,36,1
CE,6416911244,Carlos Hernández,11031981,97,54,97,24,1
CC,1790524223,Daniela Martínez,27041928,86,29,86,42,0
CC,5207396817,Miguel Martínez,02051983,76,22,76,65,1
TI,2170665600,Daniela González,26041945,95,67,95,22,1
TI,8981294209,Sofía Cifuentes,14021954,88,58,88,54,1
CE,4741520001,Miguel Perez,23011927,23,30,23,3,0
CE,1063929980,Ana Hurtado,02112003,44,20,44,92,0
CC,1398431875,Gabriela García,16021958,18,73,18,81,0
CC,0820153422,Daniela González,24061927,94,16,94,15,1
TI,9213530735,Luis Rodríguez,27071978,81,47,81,11,1
TI,8486399094,Luis Murillo,23011981,86,4,86,35,1
CC,6679537339,Melissa Murillo,17042009,94,3,94,54,1
TI,1036794453,Juan García,19031970,17,87,17,36,1
TI,9591929259,Sofía López,21072003,86,73,86,52,0
TI,1996087183,María Perez,02072008,88,73,88,97,0
CE,3328990686,Gabriela Murillo,09111951,20,100,20,65,0
CC,1325864118,Gabriela Cartagena,12041951,15,6,15,30,1
TI,4737866192,Juan Martínez,18071929,63,32,63,38,0
TI,1335628598,Daniela Murillo,26061969,81,34,81,22,1
CE,6397849680,Carlos Cartagena,16091932,18,16,18,10,1
TI,0293605880,Daniela Hurtado,19091985,17,54,17,6,0
CC,3358693494,Sofía Martínez,23091993,15,88,15,67,0
CC,2668027364,Manuela Hurtado,02101981,76,94,76,44,0
CE,6194965113,Daniela Martínez,15011981,73,36,73,45,0
CE,9216092979,María Castaneda,11091929,52,93,52,22,0
TI,9351943335,Laura Murillo,02022003,76,15,76,16,0
CE,8461899070,Gabriela Hernández,04052001,73,45,73,92,1
TI,1947354773,Miguel Cartagena,22031945,52,32,52,15,0
TI,8423710525,Carlos López,21011937,70,55,70,60,1
TI,4603975641,Juan Cartagena,27031928,8,16,8,24,1
TI,5246276942,Manuela Murillo,12121955,15,99,15,11,1
CC,5606296896,Luis Cartagena,02011998,88,67,88,59,0
CE,7254306172,David Rodríguez,24051998,91,52,91,47,1
TI,3001558552,Marcela Castaneda,24042006,94,60,94,81,1
TI,1283430964,David Murillo,16101936,20,59,20,75,1
CE,5930374102,María Cartagena,17051959,11,93,11,86,1
TI,4574586336,Marcela Rodríguez,27122005,23,83,23,10,1
TI,6977546588,Ana Perez,13121959,8,75,8,10,1
CC,8757744241,Ana Castaneda,15031976,27,52,27,44,0
TI,5980584379,Juan Cartagena,07041927,73,15,73,3,1
CE,4579314926,Miguel Cifuentes,27041927,94,29,94,25,1
TI,0813252465,Daniela García,23041940,99,19,99,32,0
CC,7165630251,Juan Perez,09091934,54,21,54,79,0
CC,2460532095,Miguel Castaneda,23041977,41,86,41,78,0
CE,0175395398,Ana Rodríguez,06051954,70,32,70,36,1
CE,6916482016,María Perez,27011968,91,19,91,81,0
CC,9383687668,Daniela López,07051925,91,55,91,50,1
CE,6553930127,Carlos González,16111960,5,21,5,100,1
CC,6723741314,Manuela López,19061960,20,86,20,38,0
CE,2931254396,Manuela Perez,19072024,86,47,86,87,1
CE,5855985910,Juan Castaneda,26102018,95,51,95,38,0
CE,4286656433,Marcela García,19101948,13,95,13,81,1
TI,5201810563,David Cifuentes,26081999,81,35,81,77,1
CC,1684917843,Gabriela Perez,03121924,15,97,15,29,1
CC,6920817027,Gabriela Hurtado,12022006,19,67,19,73,1
TI,6285002688,Laura García,13042000,54,25,54,67,1
CC,2148044068,Miguel Perez,23091943,73,87,73,100,1
CE,5242993461,Ana Murillo,10112001,97,97,97,59,1
CE,5873202506,Daniela López,04041947,41,24,41,93,1
CC,2338291373,Daniela García,22081958,94,38,94,52,0
TI,5062141740,David Murillo,26021951,50,74,50,21,0
CE,5200809116,Laura Martínez,04061996,41,47,41,24,1
CC,5050959060,Carlos Castaneda,13101977,19,92,19,74,0
TI,1786584574,Laura Murillo,19091927,94,60,94,68,1
TI,6623202353,Laura Hernández,13081927,25,58,25,100,0
TI,2873032557,Manuela García,17041965,50,65,50,100,0
CE,6170073717,Miguel Cifuentes,07031946,70,13,70,78,0
TI,2119223425,Carlos Hernández,14011972,88,73,88,58,0
TI,5472622469,Manuela Murillo,01081966,54,42,54,74,0
TI,8180631469,Carlos Rodríguez,21122008,54,92,54,65,1
CE,7508547032,Sofía Martínez,01071965,66,6,66,31,1
CC,1251630437,Manuela Cifuentes,01041941,91,21,91,78,1
CE,4606742033,Laura González,13021991,13,31,13,20,1
CC,1992839827,Luis Martínez,14061991,88,68,88,15,0
CE,7239189120,Laura García,25011945,23,6,23,97,0
CC,9640690183,Luis Castaneda,12121945,13,99,13,13,0
TI,5202080210,Miguel Cifuentes,08051928,97,51,97,6,0
CC,9474677042,Sofía Cifuentes,19122009,70,11,70,58,1
TI,4437962377,Ana López,09012024,50,30,50,99,1
TI,1052966404,Sofía Perez,04081992,8,3,8,60,0
CE,8378202936,María García,21031973,13,20,13,30,1
TI,1338371081,Manuela Cifuentes,23091943,81,58,81,95,0
CE,6365749999,Melissa Hurtado,11121949,13,13,13,1,1
TI,8983555659,Carlos Martínez,24021967,99,6,99,13,1
CC,9513644095,Sofía Perez,12011974,18,15,18,19,0
CE,3827913937,Juan Cifuentes,02011928,27,59,27,52,0
CC,4784565059,Gabriela González,08011939,13,68,13,25,0
CC,7929226197,Daniela Cartagena,27121986,52,58,52,34,1
CE,6569074002,Carlos Hurtado,13052006,50,51,50,22,0
CC,0779058279,Daniela Cifuentes,03081986,52,24,52,67,0
CC,9681120437,Melissa González,25072007,20,25,20,44,0
CE,4219509405,Gabriela Cifuentes,13011921,73,24,73,31,0
TI,7017703455,Carlos Castaneda,04101925,99,21,99,54,0
CE,7053109997,Luis Rodríguez,02051951,73,50,73,42,0
CE,1390880241,Laura Castaneda,07011946,13,10,13,29,0
CE,3918765783,Juan Cifuentes,17121995,25,15,25,92,1
CE,9723697526,Ana Cartagena,08041988,66,51,66,4,0
CE,7305245559,Sofía González,13071944,94,97,94,21,1
TI,1425863299,Ana Perez,01081949,44,24,44,26,0
CC,0833903165,Ana Cifuentes,13021957,41,42,41,44,1
TI,3939087857,Melissa Martínez,07121938,95,6,95,24,0
TI,3804159565,Laura González,17011958,97,62,97,54,0
TI,8988268849,Juan Hernández,18101973,70,81,70,95,0
TI,4427864515,Melissa Cartagena,06021990,44,98,44,26,1
CE,3257150445,Carlos Perez,03061984,63,65,63,29,0
CC,6785808641,Marcela Cifuentes,11031932,76,78,76,60,1
TI,3127944440,María Martínez,28051971,5,30,5,60,1
TI,2619046430,David Hernández,14081946,94,6,94,79,1
CC,6120246081,Sofía Cifuentes,26091993,94,93,94,41,0
CE,9617285341,Luis Hernández,02091998,88,4,88,16,0
CC,1512143807,Melissa Murillo,13011996,27,65,27,91,0
CE,0393225064,Luis González,24071966,73,93,73,59,1
CE,9091366815,Miguel Perez,03121988,5,22,5,16,0
CE,7456104478,María López,03021942,68,35,68,93,0
CC,3470215487,Daniela Martínez,18051976,50,43,50,11,1
TI,6579357844,Gabriela López,12021997,23,55,23,68,1
CC,9903642832,Carlos García,03021950,52,41,52,65,0
CC,8564099079,Manuela Cifuentes,22071964,81,95,81,97,0
CE,9767815628,Daniela Martínez,12061994,20,29,20,58,0
CC,1173972060,Gabriela López,14081929,44,79,44,54,1
CC,0947458062,María Cifuentes,20021902,23,25,23,62,0
TI,8383603651,Laura García,15081956,76,34,76,51,0
TI,3288369832,Luis Murillo,27121976,70,45,70,75,1
CE,2502004636,Juan López,19091927,73,50,73,34,0
TI,3819384126,Gabriela López,18091983,17,81,17,97,0
CC,7749264423,Laura González,25091968,18,4,18,67,0
TI,2029272804,Sofía Cartagena,11121989,88,3,88,59,1
TI,3180619859,Gabriela Cartagena,25031938,11,62,11,87,1
TI,9305818628,Carlos López,03081965,52,87,52,75,1
CC,1167848895,Daniela Hurtado,19041904,41,81,41,1,0
TI,2782743725,Daniela López,22111926,68,36,68,44,0
CE,6072932721,Manuela Cartagena,05031939,99,44,99,4,1
CC,4049739559,Laura Hurtado,01091973,95,31,95,74,0
CC,9774088460,Melissa García,25031935,73,91,73,92,0
CE,2446573090,Juan Perez,15111952,73,35,73,78,1
TI,0032496092,María Castaneda,25031943,66,44,66,10,1
TI,2906780788,Carlos Cifuentes,20021929,88,97,88,42,0
CE,7902608388,Manuela Perez,26081926,17,50,17,15,1
TI,3665224987,Sofía Martínez,10051975,5,22,5,50,1
CE,7428203931,Ana Martínez,03081952,41,21,41,62,1
CE,5578571456,Ana Cifuentes,21101928,70,75,70,99,0
TI,6919678107,Ana Castaneda,19061975,86,11,86,86,1
CE,3130263156,Luis López,19051959,63,59,63,91,0
CC,4615932147,Daniela Perez,04072005,63,41,63,67,0
CE,6604656279,Manuela Cartagena,16092007,50,83,50,35,1
CC,4558638265,Juan López,17101909,25,38,25,50,1
CC,3469977323,Laura Perez,14061952,19,67,19,88,0
CE,3301055416,Luis López,12121997,25,3,25,45,1
CE,7837453888,Sofía Perez,13121936,76,90,76,65,1
CC,5147901767,Luis Rodríguez,25121991,85,74,85,53,0
CE,7081175262,Sofía Cifuentes,28091986,47,26,47,98,1
CC,5401167736,Manuela Hernández,18041995,63,95,63,98,1
TI,5839409259,Juan López,03011960,91,30,91,24,1
CE,0078994024,Miguel Perez,21081958,76,75,76,55,1
TI,0253250444,Laura Castaneda,18111954,13,95,13,95,0
CE,4382594419,Ana Martínez,02091940,52,75,52,92,0
CE,6370048146,Manuela Castaneda,06121946,68,51,68,52,1
CC,6587539666,Marcela Hurtado,28031998,47,15,47,97,0
CE,8810367123,Marcela Perez,25102004,63,31,63,92,0
CE,5442234371,Laura Cartagena,04102004,50,21,50,58,1
CE,8874289509,Sofía Murillo,11022023,19,90,19,54,1
CE,6218469472,Manuela López,24041993,47,34,47,78,1
CE,9237046576,Gabriela Castaneda,11091994,81,60,81,90,0
TI,9115474265,Gabriela Perez,16051984,99,75,99,74,0
TI,9410785864,Daniela Cartagena,06011959,70,52,70,36,0
TI,4336920336,David López,18101988,13,29,13,25,1
CC,1934405574,Ana García,14102001,15,88,15,21,0
TI,9422119545,Daniela García,22081925,15,25,15,47,1
TI,1030492693,David Rodríguez,10051941,13,3,13,67,0
TI,5055721162,Sofía Hernández,08051952,54,53,54,21,1
CC,6050632703,Luis Hernández,22071964,68,83,68,19,1
CC,7928284960,Manuela García,15101969,76,25,76,32,0
CE,4453535290,Juan Murillo,27031991,97,94,97,36,0
CE,0049808177,David González,05071960,17,74,17,87,1
CC,7548635539,Carlos Cartagena,11081948,52,24,52,83,1
CC,2528316578,Ana Perez,05081934,81,42,81,95,0
CE,3108833808,Sofía Cartagena,10051932,41,99,41,97,0
CE,9004474546,Luis Perez,22101941,41,51,41,91,0
CC,7239577475,María García,12072004,66,68,66,88,1
CE,5624750551,Manuela Perez,09121963,18,60,18,11,0
CC,8742461391,Ana Hurtado,20031956,11,10,11,52,0
CE,1713428930,Melissa Hurtado,13061926,70,3,70,32,1
TI,9966788898,Manuela López,17121981,25,30,25,51,1
TI,5436643716,Daniela Hernández,05081970,41,40,41,53,1
CC,6543272556,Manuela Rodríguez,05081942,41,10,41,38,1
CC,2710673595,María Martínez,04081988,52,97,52,90,1
CE,4629703401,Luis Hurtado,22111998,44,97,44,25,0
TI,4812001991,Melissa Cifuentes,04011984,15,16,15,34,0
TI,8291304998,Juan Castaneda,15091935,11,43,11,98,0
CE,1130180711,Laura Hernández,24121976,19,65,19,78,0
CE,3896371806,Sofía González,24012004,23,81,23,32,1
TI,2566765680,Marcela Hurtado,24041986,86,47,86,42,0
CE,8381136472,Luis Castaneda,03011981,27,78,27,10,1
CC,8447074897,Manuela Cifuentes,25061959,47,44,47,79,1
CE,9336276687,Manuela Castaneda,11121990,18,21,18,87,1
CC,0908453445,Melissa Murillo,27031966,13,87,13,83,1
CC,0888236049,Ana López,21111962,25,29,25,38,0
CC,4005584570,Ana Murillo,24091949,63,44,63,75,1
TI,4470169304,Ana Cartagena,09101964,68,32,68,31,1
CC,5900109614,Carlos Cartagena,04061966,66,54,66,6,0
TI,6300084980,Gabriela Murillo,15071977,25,10,25,54,0
CE,0618942028,Carlos Hernández,09101983,5,52,5,15,1
CE,1678870653,Luis García,21081954,13,51,13,68,0
CC,0882060315,Melissa Martínez,21111971,88,50,88,38,1
CC,2326804413,Manuela González,17011977,86,83,86,22,1
TI,0440860461,Miguel Rodríguez,11072005,50,88,50,24,1
CC,2423369545,Daniela Murillo,14072007,88,25,88,68,1
CE,3919785254,Laura Murillo,10031974,44,81,44,4,1
CC,7726288486,Melissa Murillo,10041988,25,2,25,79,0
CE,2657066459,David Rodríguez,06071929,52,62,52,75,0
CE,9211646712,Juan Hurtado,17111950,95,54,95,40,1
TI,1971899422,Marcela Murillo,17111997,94,87,94,55,0
TI,4864214027,Manuela Hernández,06041925,70,15,70,93,0
CE,7063901492,Juan Murillo,06091943,27,74,27,55,1
TI,4467518731,Gabriela Hurtado,01121988,76,77,76,40,0
TI,7440994489,Sofía Perez,23051931,50,3,50,90,1
CE,2696754369,Ana Hurtado,05121926,25,92,25,16,1
CE,4309134603,Ana Cifuentes,23091940,99,93,99,86,1
CE,7531441340,Juan Hernández,07121994,44,43,44,53,0
TI,3390879348,David García,05011991,13,42,13,78,1
CC,9799786464,Manuela García,28122004,70,10,70,34,0
CE,8850171242,Juan Rodríguez,02061981,47,24,47,67,1
CE,2505317855,Laura Murillo,01091983,15,59,15,78,1
CC,1173337937,Juan González,08101965,23,13,23,19,0
CC,5057194097,María Rodríguez,15081985,17,36,17,99,0
CE,9991895921,Marcela López,15071964,44,62,44,11,1
CE,3109829579,Miguel Murillo,23021973,86,22,86,90,1
TI,5680135050,Daniela Hurtado,21011926,5,97,5,87,0
TI,2394272105,Daniela López,13072003,63,88,63,100,0
CE,5047553186,Gabriela Martínez,23031940,68,20,68,38,1
TI,6308588898,Sofía Cifuentes,20121994,99,51,99,29,1
CE,9566803261,David Murillo,08061977,94,92,94,16,0
CC,1157586683,Daniela Murillo,08071907,11,25,11,79,1
TI,5377163000,María Rodríguez,14031970,70,34,70,34,0
CE,5350371731,Miguel Hernández,15071940,19,91,19,1,1
CE,5207407431,Ana Cartagena,04121968,23,91,23,51,1
CC,3547154814,Melissa Castaneda,14041981,52,21,52,50,1
CE,5050158061,María Martínez,13011950,8,19,8,4,1
CC,2469997833,Manuela Martínez,13021959,5,83,5,22,1
CC,6306857232,Daniela Castaneda,12011982,13,73,13,15,1
CC,7229896597,David García,22061933,52,58,52,88,0
TI,7853765427,Luis Castaneda,20101953,94,22,94,1,0
CC,4843616653,Daniela Martínez,21121995,18,35,18,30,1
CE,6455565938,Laura Hurtado,18111978,97,81,97,16,1
CE,6217578790,Marcela García,27062004,44,99,44,6,0
TI,9217745764,Gabriela Perez,06061988,19,54,19,38,0
TI,5908288370,Daniela Murillo,10121957,63,35,63,1,0
TI,6604898680,David Martínez,02021931,66,10,66,30,1
CE,0204977585,Sofía Perez,12091905,17,34,17,67,0
CE,5766497376,David Hurtado,13041934,68,60,68,44,0
CE,2279016374,Melissa Hernández,15101977,81,10,81,77,1
TI,0822738972,Luis Hernández,14051978,5,52,5,10,1
CE,4013744990,Sofía Castaneda,05101987,99,6,99,62,1
CE,0570581560,Miguel Perez,27091927,5,24,5,21,0
CC,0742095743,Manuela González,15041946,85,47,85,29,1
CE,7517450635,Marcela López,12031995,95,3,95,65,0
CC,6593274297,Melissa Cartagena,23091945,47,6,47,65,1
CC,8250777429,Carlos Hurtado,01021965,85,52,85,3,1
CC,9050977994,Laura Castaneda,01091934,44,86,44,6,1
CE,8700505451,Marcela Perez,22071963,86,47,86,21,1
TI,3125742808,Ana Cifuentes,25111962,94,40,94,16,1
TI,6349577302,Melissa Perez,24061986,81,68,81,26,0
TI,5767302035,María Hernández,08021970,70,11,70,11,0
CC,0189484792,Miguel Hernández,02101947,86,99,86,43,1
CE,4864793971,Daniela Hurtado,24111947,44,97,44,60,1
CC,1856546006,Daniela López,09061924,86,78,86,62,1
CE,7578863634,Carlos Perez,28091951,95,75,95,20,1
CC,4423947263,Laura Cartagena,13011948,52,67,52,62,0
CC,6128563680,María García,27091997,68,6,68,68,1
CE,8334859712,Juan García,22071970,47,45,47,40,0
CC,1129776875,Carlos López,08071937,63,87,63,92,0
CC,3693458644,Miguel Cartagena,25071990,95,47,95,30,1
CE,7631157076,Luis Rodríguez,24011969,44,92,44,59,0
TI,2838573602,Juan López,26051973,44,31,44,75,1
CC,9674999996,Sofía Castaneda,27061986,70,95,70,90,0
CE,3172985077,Juan Hurtado,26071934,73,22,73,60,1
CE,3829320873,Juan Cartagena,21061955,91,92,91,30,0
CE,0201413779,Gabriela Cifuentes,28121961,94,41,94,83,0
CC,2147997418,Melissa Cifuentes,08121998,86,100,86,73,0
CE,8291741224,Marcela Cifuentes,23051982,18,47,18,94,0
CC,6003576076,Luis Castaneda,10052003,66,25,66,24,1
TI,5461812211,Sofía López,16062005,19,2,19,20,1
TI,4352384757,David Hurtado,10061985,27,36,27,50,0
CE,1587809500,Juan González,22022008,5,99,5,41,1
CC,1165043467,Ana González,16082006,50,83,50,87,1
CE,4391951597,Ana Hernández,21081967,91,88,91,42,0
TI,2676493276,Gabriela Cifuentes,21071989,97,55,97,3,1
CE,3246233125,María Castaneda,22051985,20,95,20,19,1
CC,0315653914,María González,21061989,54,15,54,41,1
CC,7461738582,Miguel González,19051944,91,95,91,22,1
CC,3865792582,Melissa Castaneda,06101982,20,53,20,59,1
TI,6860770458,Gabriela Cifuentes,07021951,15,94,15,58,0
CC,2617860330,Miguel García,25031912,73,59,73,94,0
TI,1479657275,Sofía Cartagena,25011976,25,15,25,50,0
CC,1396283435,Marcela García,15031934,94,65,94,52,0
CC,2343948983,Miguel Castaneda,09071969,18,35,18,24,1
CE,9095576505,Laura Rodríguez,24051988,52,11,52,45,1
CE,6826345003,Gabriela Hernández,26031949,19,92,19,50,0
CC,5046174755,Marcela González,07061953,76,83,76,13,1
TI,4651090220,Carlos Murillo,08102006,41,19,41,98,1
CC,2878115130,Manuela González,01031935,81,16,81,41,1
CE,7069356687,María López,17071929,70,32,70,47,1
TI,4952309076,Sofía Castaneda,18121988,54,35,54,10,0
CE,6235743288,Manuela Martínez,25091972,17,1,17,93,1
CC,2072470701,Marcela García,02061900,17,11,17,62,0
TI,7666668297,Luis Hurtado,15091926,25,45,25,65,1
CC,4816407535,Melissa García,06061991,5,86,5,54,0
CE,5658042218,Manuela Perez,24121995,15,4,15,81,1
CC,6495432609,Laura Perez,17081978,25,75,25,6,0
CE,2190777666,Ana Cartagena,08091939,86,10,86,60,0
TI,0304195165,David García,09091937,54,98,54,4,0
CE,3137351944,Juan Perez,12112006,85,1,85,24,1
CC,3291226309,María Perez,18111969,85,40,85,31,1
CC,5471773564,Daniela Murillo,17031975,27,67,27,22,0
CC,9692627020,David Hurtado,18021955,68,38,68,99,1
TI,8681426197,Miguel Murillo,23061954,63,55,63,30,1
CE,4977632669,Daniela López,01051925,23,79,23,77,0
CC,3090870225,Juan García,12021991,54,2,54,4,1
TI,5527936551,María Hurtado,21091963,11,35,11,47,1
TI,2210716777,Manuela García,07012005,27,83,27,6,1
TI,3220192859,Juan Perez,26021953,63,35,63,47,0
TI,8965489630,David Perez,02121963,91,60,91,55,1
TI,5457785302,Melissa Rodríguez,12061994,85,65,85,98,0
TI,7277869535,Daniela García,02091989,41,44,41,99,1
CC,8220324935,Gabriela Cartagena,11012002,86,32,86,25,0
CE,9113557825,Sofía García,27061926,50,16,50,97,1
TI,5145687228,Carlos Castaneda,02101952,44,24,44,35,1
CE,1298159467,Juan Martínez,26111962,54,52,54,74,0
CE,9923457555,Juan Rodríguez,20071985,27,13,27,26,1
TI,9238031375,Gabriela Murillo,23051978,44,53,44,100,0
CC,9400940163,Manuela Rodríguez,22091956,11,32,11,53,0
CE,6468342959,Juan Hernández,19031937,15,98,15,53,0
CE,8035702497,Juan García,09101937,91,79,91,59,1
TI,7198946314,Daniela López,16062008,94,45,94,2,1
CC,6444703968,Manuela Murillo,04031955,27,13,27,31,1
CC,6266312438,Carlos Castaneda,23021972,44,20,44,50,1
TI,2247692792,David Hurtado,03122004,15,45,15,83,1
CC,7767761256,Ana Rodríguez,27082003,13,30,13,15,1
CC,3004902153,Luis Cartagena,24121999,47,35,47,73,0
CE,7937391125,Gabriela García,23021929,63,53,63,86,1
CC,7284539018,María Perez,03121975,97,15,97,2,0
CE,3613476624,Ana García,25061925,95,86,95,20,1
CE,8056380311,Miguel Rodríguez,12031933,68,65,68,32,0
TI,1699813580,Carlos Murillo,13021953,91,74,91,35,0
TI,3917381119,Miguel Cartagena,17061968,70,51,70,40,0
TI,4841933377,Luis Rodríguez,01061985,97,43,97,93,1
CE,0102083650,Daniela López,22121919,15,58,15,22,1
TI,7043545086,Melissa Rodríguez,16091934,23,41,23,47,1
CC,2336257679,Daniela Cartagena,05011986,63,11,63,25,0
TI,9892077999,Manuela Cifuentes,24081963,99,20,99,53,0
CE,6325290699,Gabriela Castaneda,09021978,73,19,73,6,0
CE,0627450753,Gabriela López,16071978,19,91,19,11,1
CC,0767589948,Ana Perez,24031951,50,20,50,21,0
TI,8675169947,Gabriela Martínez,25012000,11,36,11,99,1
TI,1692439291,Ana Martínez,04101947,99,99,99,35,1
CE,7376608495,María Cifuentes,11121957,19,98,19,73,1
CC,4281924323,Luis Castaneda,27021975,70,78,70,45,1
TI,4710882102,Melissa Castaneda,23011935,86,58,86,67,1
CC,8910032669,Juan Murillo,15061987,52,75,52,52,1
TI,3659202872,Miguel González,06021951,25,30,25,32,0
TI,7025963733,Miguel Cartagena,10041933,19,98,19,53,0
CE,2903919499,María Cifuentes,11111929,63,100,63,54,0
