tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,departamentoNacimiento,ciudadNacimiento,departamentoResidencia,ciudadResidencia,declaraRenta
CE,0287852668,Ana García,10061985,76,44,76,52,0
TI,1679272807,Melissa Castaneda,17041985,66,98,66,4,0
TI,5077333143,Daniela Rodríguez,01101986,41,35,41,19,0
CE,3365160992,Juan Hurtado,25031984,50,94,50,20,0
TI,6971583807,Ana López,07021985,99,93,99,2,0
TI,6970131458,David Rodríguez,04061985,52,100,52,95,0
CE,2692824871,Gabriela Cartagena,03061985,41,59,41,50,0
CE,2255880334,Laura López,14011983,88,75,88,98,0
CC,0594061890,Marcela Cifuentes,23011984,54,29,54,34,0
TI,8170048049,Daniela Cifuentes,08051981,97,45,97,98,0
CE,8495260163,Gabriela Murillo,23031980,13,52,13,34,0
CC,2771730813,Ana Perez,03031985,20,92,20,65,0
CC,7851960021,Gabriela Perez,15111985,94,4,94,77,0
CC,0935658758,Miguel Martínez,01121984,88,1,88,87,0
CC,4062257692,Gabriela López,13071985,18,31,18,11,0
TI,4647800708,Miguel Rodríguez,04041982,8,24,8,59,0
TI,2751402188,David García,11021985,11,62,11,38,0
CE,9307335079,María Martínez,16101986,52,93,52,47,0
CC,6624877334,Manuela Hernández,24071986,97,83,97,43,0
CC,9753363105,Gabriela Castaneda,19031984,81,47,81,13,0
CE,3618910275,María Cifuentes,24011982,97,45,97,53,0
CE,0233190332,Luis González,12121976,18,65,18,34,0
CE,9763605009,Carlos Cartagena,22111974,13,98,13,52,0
TI,8958374700,Juan García,23051984,81,29,81,81,0
TI,1760637668,Juan López,18011978,18,41,18,73,0
CC,1055225530,Miguel Murillo,15121983,11,31,11,6,0
CC,1806726611,Luis Martínez,10101985,54,22,54,67,0
TI,3855312532,María Hurtado,04081985,76,4,76,86,0
TI,1007063663,Manuela García,13091985,17,86,17,43,0
CE,9064870025,Melissa Hernández,12091966,52,100,52,79,0
CC,2902173974,Juan Murillo,22041980,91,68,91,35,0
CC,2614494021,Manuela García,10111974,15,60,15,44,0
CE,3021017751,David Perez,19021978,41,95,41,68,0
TI,7238709476,Laura Castaneda,20051982,66,79,66,19,0
CE,4812401402,Daniela García,02101984,63,67,63,25,0
TI,6713931752,Juan López,06061980,99,98,99,95,0
TI,8967776404,Miguel Castaneda,11031981,70,45,70,58,0
CC,6263768992,Melissa González,15011981,97,74,97,13,0
TI,9878430736,Marcela Martínez,04101985,94,59,94,31,0
CE,1940526266,Carlos López,05031985,20,100,20,98,0
CE,3194452377,Carlos Hurtado,10121984,63,90,63,100,0
TI,8249462145,Ana Perez,25081977,11,54,11,86,0
CE,2012057285,Marcela López,23111978,70,54,70,67,0
CC,6596288734,Sofía Cartagena,26061982,50,58,50,19,0
TI,9165283031,Manuela Hurtado,11031984,5,52,5,24,0
CE,5959837074,Melissa Hurtado,28121982,91,11,91,83,0
TI,0294368083,Melissa García,23121984,86,11,86,38,0
CE,8309425501,Marcela Rodríguez,27061985,17,88,17,32,0
CE,6959088847,Gabriela Cifuentes,16041982,95,2,95,3,0
CC,2041614292,David Cartagena,02021981,20,43,20,2,0
CC,1682047010,Manuela García,12111985,17,55,17,53,0
TI,1744148401,Daniela Perez,22031985,13,86,13,88,0
CE,2576422853,Gabriela González,24121985,76,36,76,94,0
TI,1398691600,Sofía Perez,01101985,85,90,85,30,0
CE,3905155437,Marcela Cifuentes,19051981,91,20,91,13,0
CE,0725969085,Sofía Cartagena,20061979,63,94,63,21,0
TI,7841784236,David Cifuentes,11091984,85,11,85,38,0
CE,0431658603,Marcela Rodríguez,09031984,94,55,94,16,0
TI,0889950664,Manuela García,03081985,41,16,41,68,0
CC,6462565611,Juan Martínez,17051975,76,95,76,74,0
CC,5336306869,Sofía Hernández,27111983,95,93,95,59,0
TI,4131400990,Sofía Martínez,28061974,50,19,50,43,0
CE,5380895400,María Cartagena,11051975,94,47,94,91,0
TI,0600608976,Luis González,16101985,47,51,47,62,0
CC,2329968894,Luis García,10101985,5,90,5,100,0
TI,3017680270,Laura Murillo,22111983,88,30,88,4,0
CE,9840490114,Melissa Rodríguez,02041974,66,86,66,31,0
TI,4695283975,Carlos Murillo,12091984,47,67,47,47,0
TI,3441494657,David Castaneda,24071985,27,21,27,94,0
CE,5257170174,Miguel López,22111985,11,58,11,3,0
CE,0407162770,Laura Cartagena,16081978,63,87,63,79,0
CE,3360123713,Carlos López,24051980,76,3,76,34,0
TI,5465634969,María Murillo,04031984,68,44,68,22,0
TI,0103736450,Gabriela García,14041983,95,97,95,43,0
CC,1082088259,Gabriela Murillo,04121985,85,16,85,99,0
CE,8558380698,Juan González,18061985,94,74,94,78,0
TI,7096896448,María Hernández,25111984,95,74,95,15,0
CC,7384645702,Melissa Rodríguez,21101984,52,86,52,90,0
CC,2975020853,Ana Cartagena,09011984,52,74,52,100,0
CC,6667891912,Ana García,07041984,76,20,76,99,0
CC,7068724706,Manuela Hurtado,04021985,91,91,91,42,0
CC,6058504048,Sofía Perez,27111984,73,60,73,38,0
CE,6212043128,Miguel Castaneda,15011986,20,30,20,94,0
TI,3203259249,Melissa Perez,25061986,47,52,47,13,0
CE,0463769281,Manuela Rodríguez,14101985,52,43,52,22,0
TI,4591742741,Carlos Martínez,02011986,19,97,19,13,0
CC,4724297227,David Castaneda,14121985,70,87,70,75,0
CC,4870370120,Gabriela Cifuentes,04031977,50,47,50,88,0
CC,7068598872,David Hurtado,26071984,50,1,50,77,0
CE,7462384279,Laura Hurtado,11111986,94,31,94,21,0
TI,6165100807,Juan Martínez,22051985,97,95,97,21,0
CE,8640216552,Marcela Murillo,09021986,63,40,63,94,0
CE,6859559797,Gabriela Rodríguez,09091984,11,67,11,26,0
CE,0166220687,Juan Murillo,08031986,95,54,95,62,0
CC,6685548085,Daniela Rodríguez,08091987,23,86,23,88,0
CE,6647116359,Miguel Cartagena,27031980,5,31,5,78,0
CC,8795837120,María Hurtado,04021985,23,42,23,87,0
CE,3150090342,Sofía Cartagena,20031985,85,20,85,81,0
TI,3480289073,María Castaneda,25091984,18,30,18,81,0
TI,3547020867,Ana García,19061985,23,38,23,25,0
TI,9300964000,Luis Hernández,05071985,81,44,81,74,0
CE,5429453378,Gabriela Martínez,14021986,99,73,99,16,0
CE,6688234099,Miguel Hurtado,22021982,81,91,81,86,0
CC,4584159118,Ana Martínez,13121982,8,55,8,93,0
CE,4043924718,Manuela Hernández,12091983,81,79,81,88,0
TI,9706776240,Sofía López,13021981,13,16,13,6,0
TI,5726139766,Juan González,14031981,19,47,19,100,0
CC,3125111532,Gabriela Perez,03051986,15,42,15,100,0
CE,2253549181,Sofía Murillo,10101983,19,22,19,94,0
CE,2446721276,Gabriela Castaneda,13061987,20,88,20,20,0
CC,2476070919,Carlos Hurtado,19121986,44,99,44,98,0
CC,8386918639,Miguel Cifuentes,08091986,81,34,81,19,0
TI,0799235273,David Cartagena,18041986,47,38,47,20,0
CE,5819145989,David Hurtado,17081985,94,4,94,24,0
CE,3067270115,Marcela González,08101982,86,83,86,67,0
CC,3439560092,Juan Rodríguez,17101985,85,30,85,58,0
CC,8765464076,Sofía Murillo,22101986,63,58,63,11,0
TI,4657326894,Manuela González,03041983,95,6,95,45,0
TI,2167972103,Gabriela García,13111986,41,32,41,42,0
TI,0027069980,Juan Hurtado,25021982,99,20,99,93,0
CC,4839385632,María Hurtado,28061983,15,26,15,2,0
TI,9182026220,Juan Rodríguez,18111984,17,50,17,97,0
TI,3760657311,Sofía Cifuentes,21061984,18,88,18,59,0
CC,7550171683,Luis Murillo,17041980,70,4,70,43,0
TI,0264246742,Sofía Castaneda,26061979,25,50,25,41,0
CE,6665747003,Sofía Hurtado,16071980,25,32,25,26,0
TI,0959569693,Daniela Rodríguez,12081983,25,21,25,68,0
CC,7786702373,Daniela García,10031985,18,86,18,10,0
TI,5760349438,Luis Cifuentes,13091984,91,83,91,50,0
CE,1080466787,David Perez,01121977,25,47,25,90,0
CC,7290219820,David Perez,20111978,88,79,88,100,0
CC,3937248796,Manuela Castaneda,18091983,52,45,52,100,0
CC,9079276051,Luis Cartagena,15021983,11,42,11,88,0
CE,5312730036,Ana Hurtado,21021977,41,26,41,65,0
CC,1545653109,Carlos Rodríguez,23041983,17,38,17,26,0
CE,7405702154,Daniela Cartagena,01041974,18,22,18,21,0
CE,0968741814,Ana Castaneda,23091977,41,20,41,98,0
TI,5733084023,Marcela Cifuentes,23111979,8,53,8,52,0
TI,1960656008,María Martínez,10081984,18,88,18,4,0
CE,9461055234,Marcela Cifuentes,03121982,85,51,85,68,0
CC,5570256080,Juan Cifuentes,20121983,50,67,50,32,0
TI,7344538999,Carlos Martínez,12121984,68,75,68,54,0
CC,3140988104,Melissa Martínez,02111985,20,54,20,36,0
CE,0703395482,Luis Rodríguez,19101982,73,47,73,92,0
TI,7199356835,Luis Perez,14041983,70,32,70,95,0
TI,7330309460,Luis Castaneda,24051984,19,98,19,68,0
CE,9098820264,Melissa Hurtado,04021984,8,79,8,65,0
CE,8741480186,Manuela López,27031985,44,93,44,34,0
CE,7297501628,Laura Cartagena,20071976,20,98,20,40,0
TI,7590523519,Daniela Cartagena,22091983,11,86,11,92,0
CC,7173075245,David Castaneda,04101985,25,35,25,91,0
TI,6218127087,Daniela Hernández,01011977,44,15,44,92,0
CE,0986175409,Laura González,09011982,94,3,94,24,0
TI,2262630702,Marcela Hurtado,08081979,27,59,27,3,0
TI,3494263897,Manuela López,28101984,8,98,8,50,0
TI,6762806083,Daniela Murillo,22041975,8,100,8,11,0
CC,4718454841,David Cifuentes,27111966,86,73,86,22,0
CC,8884397319,Melissa García,04091977,76,94,76,90,0
CC,2271759229,Laura Castaneda,03111979,52,67,52,88,0
CE,9687480760,David Cifuentes,12011981,88,77,88,22,0
CC,2812151806,Laura García,04011982,8,77,8,90,0
CC,1886908191,Carlos Castaneda,09041984,73,44,73,79,0
CC,5069971480,Carlos Cartagena,28091985,99,21,99,68,0
TI,7565318625,Luis García,28011983,25,19,25,32,0
TI,4355375349,Ana Murillo,18121983,66,83,66,15,0
TI,4534445211,Marcela Hurtado,04061985,19,91,19,38,0
CC,6604857709,Marcela Martínez,12071977,99,25,99,44,0
CC,6572000829,Manuela Perez,15061978,76,78,76,77,0
CE,1597578750,Manuela Perez,07101982,11,62,11,2,0
TI,9291451666,Miguel López,08021984,97,99,97,19,0
CC,1484792536,Carlos García,01121980,99,31,99,86,0
TI,7320641584,Laura Cartagena,10081985,63,34,63,81,0
CC,0651469003,Luis González,25031985,95,91,95,97,0
CC,4111354345,Melissa González,28091981,73,78,73,15,0
TI,8354483458,Ana Cifuentes,25031984,41,75,41,44,0
TI,9305404980,David Cartagena,04091981,44,40,44,75,0
CE,3156491591,Daniela Cifuentes,14061984,95,25,95,19,0
CC,4259302806,Daniela González,14061979,66,99,66,88,0
TI,4675279050,Carlos Rodríguez,14051966,8,19,8,21,0
CE,5862185883,Luis González,26011970,47,31,47,68,0
TI,5993858300,Laura Martínez,01091958,11,92,11,92,0
CE,5949462017,David López,28061972,15,38,15,55,0
CE,2602899187,Gabriela García,18081974,66,44,66,38,0
TI,2109962330,Ana Rodríguez,25041979,73,50,73,38,0
TI,8913026369,Carlos García,25031984,52,34,52,67,0
CC,3477308715,Gabriela Murillo,04121976,81,25,81,98,0
CC,7442336552,María González,27031972,99,29,99,53,0
CE,5685687125,Carlos Perez,24071981,50,43,50,35,0
TI,9998612882,Ana González,12101980,73,67,73,15,0
CE,3736692842,Laura Rodríguez,20041981,17,4,17,16,0
TI,8029081206,Daniela Hurtado,05051975,27,90,27,55,0
CC,1503964968,Carlos Rodríguez,27081984,91,19,91,55,0
TI,7154494588,María Cifuentes,23071978,88,86,88,6,0
CC,6970478270,Miguel Castaneda,08111983,76,21,76,58,0
CE,7884616864,Sofía Rodríguez,07021974,8,90,8,52,0
CE,6398489688,Luis Martínez,13071957,20,6,20,54,0
TI,6395441156,Carlos Hernández,03081958,68,51,68,13,0
TI,7205989737,Daniela Castaneda,20101977,85,45,85,36,0
TI,5764100179,Melissa Murillo,10081978,18,51,18,4,0
TI,3255632955,Ana Cartagena,23081971,23,41,23,34,0
CE,6071910544,Juan Murillo,03041972,44,32,44,24,0
TI,1344882720,Laura Murillo,01031972,54,83,54,77,0
TI,2571726592,Carlos Hurtado,28101940,54,44,54,44,0
CE,8334649101,Melissa López,10111979,27,98,27,16,0
CE,0232859797,Miguel García,21121964,86,22,86,52,0
TI,0308952483,Ana Cartagena,09011976,27,86,27,41,0
CC,8419448047,Ana Rodríguez,27091982,70,16,70,31,0
CE,1711876353,Laura Rodríguez,02061980,66,87,66,75,0
TI,9807286891,Sofía Castaneda,24121977,13,43,13,77,0
TI,5108507488,Melissa Rodríguez,06081964,17,36,17,75,0
CC,6837678102,Carlos López,26101968,91,25,91,65,0
CC,6817017971,Laura Castaneda,18051972,11,6,11,78,0
CE,3543015611,Juan Hurtado,28071979,76,36,76,42,0
CE,8516358480,David Murillo,23121981,88,98,88,34,0
TI,4080942768,Sofía López,09051969,25,87,25,10,0
TI,3359266004,Manuela González,05011975,13,97,13,87,0
CE,5136659182,David Perez,09111971,11,16,11,11,0
CC,2687832645,Gabriela Castaneda,28041985,91,10,91,6,0
CC,6262515612,David Murillo,04111981,68,25,68,43,0
TI,7607692285,Luis Martínez,25101976,41,11,41,1,0
CE,5152589719,Marcela Murillo,18121973,18,10,18,58,0
CE,5393771295,Ana Cartagena,15091964,27,93,27,2,0
CE,4295941346,Carlos López,27121976,27,99,27,62,0
TI,1934113955,Luis Rodríguez,01121976,85,68,85,43,0
CC,6421104605,David Cifuentes,08121974,44,1,44,31,0
CC,7306935113,María González,09021976,41,6,41,97,0
CE,7975602077,David Hernández,24071980,52,53,52,98,0
CE,3822209081,Marcela Perez,24011975,70,58,70,92,0
TI,1928750767,Laura Rodríguez,18061982,11,36,11,4,0
TI,0203148039,Daniela Cifuentes,12121983,85,24,85,77,0
TI,0888010553,David Castaneda,07021984,19,19,19,41,0
CE,8151756140,Manuela Hernández,01051984,94,98,94,51,0
CC,5474228710,Gabriela Hurtado,09101972,18,40,18,3,0
TI,6327163213,Gabriela López,11011980,66,74,66,95,0
TI,4223925235,Luis González,09071979,13,43,13,60,0
CE,2985732583,Marcela Martínez,19041980,52,47,52,42,0
CC,6658048140,Ana Castaneda,05041979,25,6,25,19,0
CE,6386488671,María López,21061967,27,35,27,32,0
CC,7667650214,Juan Rodríguez,22051984,63,77,63,99,0
CC,7624069486,Ana Hernández,09071979,95,44,95,94,0
CE,3473167583,Juan Cifuentes,21091975,99,50,99,83,0
CC,4076861860,Gabriela López,20051980,54,74,54,94,0
TI,3298167779,Marcela González,27121984,41,13,41,99,0
TI,1804109690,María González,16061983,88,55,88,6,0
TI,8622050107,David Castaneda,06071982,50,78,50,98,0
CC,9904629974,María Murillo,01101978,27,24,27,34,0
CC,1588175872,Manuela Murillo,09041980,68,38,68,3,0
CE,9660180202,Miguel López,16061966,50,29,50,55,0
CE,9347560296,Sofía Murillo,26071972,23,75,23,11,0
CE,1799538290,Marcela López,24121977,47,29,47,77,0
CE,2293133570,Gabriela Hurtado,28121978,97,59,97,34,0
CE,7738423890,David Cifuentes,03111981,15,20,15,32,0
CC,6399762410,Carlos Martínez,04101983,54,21,54,58,0
CE,0409797377,Carlos Rodríguez,27111968,81,60,81,75,0
CE,8953172259,Sofía Perez,16011985,47,29,47,98,0
CC,6125553932,Laura Hurtado,05021974,63,67,63,35,0
CC,1110911595,Carlos Cartagena,16121967,54,87,54,25,0
TI,2127569712,Melissa Cartagena,02091970,44,44,44,47,0
CE,3521105627,María Rodríguez,21041975,17,15,17,75,0
CE,3682832517,Daniela Perez,27051967,63,67,63,38,0
CE,4429968583,María Hernández,02021960,70,91,70,73,0
CE,3418496004,Daniela Hurtado,27061970,19,58,19,26,0
CC,6383676086,Juan Martínez,02061975,99,79,99,35,0
TI,0431519352,Sofía Hurtado,24091984,17,52,17,94,0
TI,9383344057,Miguel Hernández,11011984,44,55,44,16,0
CC,1196818881,Juan Castaneda,06081979,73,38,73,38,0
TI,3420109034,Daniela García,28101980,76,93,76,47,0
CE,0291229862,David Hernández,14081978,15,86,15,53,0
CE,6550318033,Gabriela Rodríguez,27061982,99,22,99,86,0
CE,9594904778,Melissa Cifuentes,14101972,11,38,11,68,0
TI,1881566399,Carlos Rodríguez,06111970,66,79,66,45,0
CC,5021801865,Carlos García,06051984,13,58,13,79,0
TI,5420445510,Carlos López,03061984,20,94,20,1,0
CE,5361329566,Laura Cifuentes,09041982,85,43,85,10,0
CC,3746309486,Manuela Rodríguez,19061969,73,83,73,50,0
CC,7446081062,María García,23011985,91,45,91,53,0
CC,0899997586,Manuela Martínez,08071984,17,40,17,54,0
TI,5026619435,Luis Hernández,22051971,70,3,70,83,0
TI,0170604916,Juan González,14081973,85,40,85,86,0
TI,6916708748,Marcela Hurtado,19021976,50,88,50,79,0
TI,9340593781,Luis González,19011979,5,83,5,92,0
CE,7459038365,Laura Hurtado,07091977,91,51,91,73,0
CE,4323260122,Marcela Castaneda,07071982,17,54,17,90,0
CC,8216007262,Laura García,25061981,54,44,54,11,0
CC,1791018094,Luis Cifuentes,08071976,81,36,81,10,0
CC,4761749310,Sofía Rodríguez,12021985,18,53,18,100,0
TI,9190641276,Laura Hernández,13021984,54,34,54,21,0
CC,2053133639,Daniela Cartagena,27091984,13,40,13,31,0
TI,9343179225,David Murillo,15081975,27,36,27,62,0
CC,0140341879,Gabriela Hernández,14081984,52,65,52,2,0
CE,7368362865,David Murillo,12021984,47,67,47,58,0
CE,5341859493,David Rodríguez,07091982,63,3,63,51,0
CC,6781194125,Melissa Cifuentes,22021976,20,44,20,88,0
TI,4578722273,Daniela García,05061981,13,4,13,52,0
CE,2698810495,Ana Murillo,21041983,86,62,86,73,0
CC,7287926449,María Castaneda,25011982,68,36,68,79,0
TI,0746527868,Sofía Cartagena,09051982,85,42,85,35,0
CC,0256066603,Sofía Rodríguez,28111974,76,32,76,29,0
CE,9912935498,Luis González,11061985,68,1,68,41,0
CC,9262473494,Ana Hurtado,20041983,76,88,76,45,0
TI,9099769776,Sofía Hernández,06041980,18,31,18,16,0
CC,8547626780,Laura Hurtado,03081985,99,32,99,81,0
CC,6326720279,Manuela Castaneda,21101982,73,19,73,30,0
TI,2124576010,Daniela Perez,26071978,47,36,47,32,0
CC,8667330500,Ana Cifuentes,03071985,11,20,11,59,0
CC,6894015409,Marcela Hurtado,05011969,8,54,8,38,0
CE,9588188823,Manuela Castaneda,08111984,86,68,86,73,0
TI,6862615403,Melissa García,04011982,52,24,52,55,0
CC,6399173775,Laura Hernández,02011982,85,67,85,54,0
CE,9226639198,Manuela Hernández,17061968,20,30,20,98,0
CE,6619541020,Carlos Hurtado,12011985,25,77,25,95,0
TI,3090930719,María Cifuentes,25061962,18,43,18,19,0
CE,4456746061,Carlos Martínez,04051961,27,47,27,16,0
TI,2442983065,María López,08061982,25,2,25,98,0
CE,9892014400,Melissa López,19031979,66,36,66,67,0
CE,2272983469,María Murillo,28051985,68,95,68,77,0
CE,6343116662,Juan Perez,08071986,94,26,94,92,0
CE,4543780531,Sofía Cartagena,25121983,13,50,13,44,0
TI,7284799131,Daniela Hurtado,22041976,97,34,97,59,0
TI,2200643533,Laura Cartagena,02111985,52,38,52,43,0
TI,3524916770,Ana Hurtado,02031986,97,54,97,79,0
CC,3922211752,David López,12101977,63,54,63,6,0
TI,5512524382,Sofía López,26081983,91,75,91,100,0
